     H    -0.2301202242    3.5448346946    3.1680851866
     O    -1.7274818998    1.8961281533   -2.2890960067
     H    -1.4730613205    1.2092696479   -1.5939314805
     H    -0.8260017518    2.2631885767   -2.4931212410
     O    -0.2517789287    3.3471015907    0.2288069218
     H    -1.1657409195    3.6924532915    0.0455173002
     H     0.0747676778    3.6976058578    1.1161399327
     O     0.9372368134    2.6911123070   -2.0101738538
     H     0.6102910098    3.0854371619   -1.1385915180
     H     1.4903406052    3.3812703031   -2.4239520943
     O    -2.7950401699    3.4735604475   -0.5917026813
     H    -3.3345045931    4.1577962022   -1.0320022379
     H    -2.4259986813    2.8431942780   -1.3572848748
     O     1.7565082383    1.3568839166    2.0424643033
     H     1.5747781846    2.3008780083    2.2681221137
     H     1.0422528719    0.8850263297    2.5459325328
     O    -3.3443496065    2.3730385142    1.7881056360
     H    -4.2857192877    2.5208717863    2.0039557976
     H    -3.2193842759    2.7694949183    0.8674176685
     O    -2.3217514131   -0.2524526806    1.8728518176
     H    -2.8508815235    0.5858846520    1.8627290300
     H    -1.7659598961   -0.1286699547    1.0435138847
